PopSet,LinePair,JointScaleCrossType,AliveYoN,SizeCat,FruitNum,SeedNumPerFruit,FxS,Cumulfit
CR,CR2,BC1P1,1,1,113,52,5876,5876
CR,CR1,BC1P1,1,1,115,45,5175,5175
BS,BS2,F2,1,1,129,54,6966,6966
CR,CR2,F1,1,1,107,46,4922,4922
BS,BS2,BC1P2,1,1,100,42,4200,4200
BS,BS1,F2,0,,,,,0
BS,BS1,BC1P2,1,1,92,45,4140,4140
BS,BS2,F2,1,0,87,28,2436,2436
CR,CR1,BC1P2,1,1,97,56,5432,5432
CR,CR1,P2,1,1,66,48,3168,3168
BS,BS1,rF2,1,1,92,57,5244,5244
BS,BS2,F2,1,1,142,38,5396,5396
BS,BS2,F2,1,1,91,45,4095,4095
BS,BS1,P2,1,1,102,37,3774,3774
CR,CR1,BC1P1,1,1,128,43,5504,5504
CR,CR2,F2,1,1,123,42,5166,5166
CR,CR2,F2,1,1,96,50,4800,4800
CR,CR2,BC1P1,1,1,139,51,7089,7089
BS,BS1,BC1P1,1,1,150,22,3300,3300
BS,BS1,F1,1,1,145,43,6235,6235
BS,BS2,BC1P2,1,1,93,33,3069,3069
BS,BS1,rF1,1,0,96,28,2688,2688
CR,CR2,F2,1,1,111,53,5883,5883
BS,BS2,BC1P2,1,1,73,50,3650,3650
BS,BS1,rF2,1,1,89,55,4895,4895
BS,BS1,BC1P1,0,,,,,0
BS,BS2,BC1P2,1,1,87,41,3567,3567
BS,BS1,F2,1,1,91,49,4459,4459
CR,CR1,P1,1,1,125,42,5250,5250
BS,BS1,rF1,1,0,75,16,1200,1200
BS,BS1,F1,1,1,84,40,3360,3360
BS,BS2,F2,1,1,144,37,5328,5328
CR,CR1,F2,1,1,92,60,5520,5520
BS,BS1,BC1P2,1,1,116,35,4060,4060
CR,CR1,F2,1,1,86,44,3784,3784
BS,BS2,P1,1,1,146,50,7300,7300
CR,CR1,F1,1,1,88,52,4576,4576
CR,CR2,rF2,1,1,104,53,5512,5512
BS,BS1,P2,1,1,49,44,2156,2156
CR,CR1,rF2,1,1,89,48,4272,4272
BS,BS2,F2,1,1,110,51,5610,5610
CR,CR1,rF2,1,1,99,40,3960,3960
CR,CR1,P2,1,1,55,46,2530,2530
CR,CR2,F1,1,1,105,45,4725,4725
CR,CR1,BC1P2,1,1,93,45,4185,4185
BS,BS1,BC1P2,1,1,120,42,5040,5040
CR,CR2,P1,1,1,117,50,5850,5850
CR,CR1,BC1P1,1,1,114,52,5928,5928
CR,CR1,BC1P1,1,1,117,48,5616,5616
CR,CR1,rF2,1,1,125,48,6000,6000
CR,CR1,BC1P1,1,1,118,34,4012,4012
BS,BS1,BC1P2,1,1,103,47,4841,4841
CR,CR2,BC1P2,1,1,74,49,3626,3626
CR,CR1,BC1P1,1,1,111,46,5106,5106
CR,CR1,P2,1,1,47,47,2209,2209
BS,BS1,F1,1,1,112,44,4928,4928
CR,CR1,F1,1,1,116,41,4756,4756
CR,CR1,F2,1,1,124,29,3596,3596
BS,BS2,P1,1,1,132,52,6864,6864
BS,BS2,BC1P2,1,1,82,46,3772,3772
CR,CR2,rF2,1,1,81,40,3240,3240
CR,CR2,BC1P2,1,1,72,47,3384,3384
CR,CR1,F2,1,1,109,43,4687,4687
CR,CR1,rF2,1,1,65,51,3315,3315
BS,BS1,F1,1,1,111,45,4995,4995
BS,BS2,F2,1,1,128,41,5248,5248
CR,CR2,BC1P1,1,1,105,47,4935,4935
CR,CR1,rF2,1,1,58,43,2494,2494
CR,CR2,rF1,1,1,107,52,5564,5564
BS,BS2,F1,1,0,99,31,3069,3069
CR,CR1,BC1P2,1,1,67,55,3685,3685
BS,BS1,F2,1,1,92,47,4324,4324
BS,BS1,BC1P2,1,1,67,40,2680,2680
CR,CR1,rF1,1,1,130,39,5070,5070
BS,BS1,BC1P2,1,1,158,25,3950,3950
CR,CR1,BC1P2,1,1,87,51,4437,4437
BS,BS2,BC1P2,1,1,94,49,4606,4606
CR,CR1,BC1P1,1,1,133,50,6650,6650
BS,BS2,BC1P2,1,1,112,49,5488,5488
CR,CR2,BC1P1,1,1,109,51,5559,5559
BS,BS2,BC1P1,1,1,148,46,6808,6808
CR,CR1,rF2,1,1,89,50,4450,4450
BS,BS1,F2,1,1,53,52,2756,2756
CR,CR1,rF1,1,1,94,38,3572,3572
CR,CR2,BC1P1,1,1,133,46,6118,6118
BS,BS1,BC1P1,1,1,161,36,5796,5796
CR,CR1,BC1P1,1,1,112,49,5488,5488
CR,CR2,rF2,1,1,50,50,2500,2500
BS,BS2,rF2,1,1,111,41,4551,4551
CR,CR2,F2,1,1,92,43,3956,3956
CR,CR1,BC1P1,1,1,109,58,6322,6322
BS,BS2,P2,1,1,60,51,3060,3060
CR,CR2,F2,1,1,107,42,4494,4494
CR,CR2,BC1P1,1,1,110,47,5170,5170
CR,CR1,rF2,1,1,93,45,4185,4185
CR,CR1,BC1P1,0,,,,,0
BS,BS2,F1,0,,,,,0
